StudyName,Type,Tmin,Tmax,Pmin,Pmax,WCalib,Mg#,sigma_i,sigma_i_err,h_i,h_i_err,sigma_pol,sigma_pol_err,h_pol,h_pol_err,sigma_p,sigma_p_err,h_p,h_p_err,r,r_err,alpha_p,alpha_p_err,wtype,assemblage,sampletype,fugacity,avggrainsize(mm)
Li2016,3,473,1173,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phlg,Single Crystal,Ni-NiO,0
Li2017*,3,473,923,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phlg,Single Crystal,Ni-NiO,0
