StudyName,Type,Tmin,Tmax,Pmin,Pmax,WCalib,Mg#,sigma_i,sigma_i_err,h_i,h_i_err,sigma_pol,sigma_pol_err,h_pol,h_pol_err,sigma_p,sigma_p_err,h_p,h_p_err,r,r_err,alpha_p,alpha_p_err,wtype,dens_mat,assemblage,sampletype,fugacity,avggrainsize(mm)
Dai2009,0,873,1273,8,8,0,0.86,0,0,0,0,2.4,0.028,147000,6000,2.6,0,82000,0,0.62,0,0,0,0,3400,opx,Single Crystal,Mo – MoO2,0
Stalder2006****,4,973,1123,0,0.5,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3400,opx,Single Crystal,Unknown,0
Yang2012**,0,573,1273,1.2,1.2,1,0.67,0,0,0,0,2.39,0.18,105000,3000,3.83,0.1,81000,1000,0.9,0.04,0,0,0,3400,opx,Polycrystalline,Ni-NiO,0.5
Zhang2012,0,500,1723,3,3,0,0.9,0,0,0,0,3.99,0.23,188000,7000,2.58,0.14,84000,3000,1,0,80,30,0,3400,opx,Polycrystalline,Ni-NiO,0.02
