Depth(km),Cw_bulk(ppm),ol_frac,opx_frac,cpx_frac,gt_frac,sp_chr_frac,pl_frac,amp_frac,cond_frac,cond_cond(ohm_m),XFe-ol,XFe-opx,XFe-cpx,XFe-gt,Al-opx(wt%),Ti-ol(wt%),m_ol,m_opx,m_cpx,m_gt,m_sp_chr,m_pl,m_amp,m_cond,t_k_cond(W/mK),fl_pl(wt%),ol_gs(mm),heat_prod(mW/m^2)
38,100,62.7,30.3,7,0,0,0,0,0,1E-05,0.09,0.09,0.09,0.09,6,0.005,1,2,4,4,4,4,4,4,25,0.52,1,4E-05
98,100,60.6,28.4,6,5,0,0,0,0,1E-05,0.09,0.09,0.09,0.09,6,0.005,1,2,4,4,4,4,4,4,25,0.52,1,4E-05
