#ModelName,ModelType,Function1,Function2,PChange,Description
Hirschmann2009,4,0.0017,0,0,Hirschmann2009 Average single value of melt/ol
Tenner2012,4,0.0085,0,0,Tenner2012 Average single value of melt/ol
